,index,time,ghi,dhi,dni,temp_air,cloud_cover (%),wind_speed,precipitation (mm),This Month Full Load Hours (h),Total Yield (kWh),Daily Value (kWh),poa_global,theoretical_kwh,PR_Daily,Month,Daily Value Imputed,energy_mwh,co2_avoided,trees_saved,cars_offroad,homes_powered,coal_emission_avoided,coal_tonnage_avoided,gas_saved
54,54,2025-02-24,2.823,0.882,5.6815,-0.8333333333333334,28.875,3.741898148148148,0.0,18.38,8388.7,43.3,2.7929794852554655,0.0297452315179707,1455.6955111894197,2,43.3,0.0433,0.023382,1.0628181818181819,0.00508304347826087,0.00433,0.03897,0.0093528,10.16608695652174
55,55,2025-02-25,2.977,0.715,6.4595,-2.3541666666666665,12.958333333333334,2.613425925925926,0.0,18.38,8388.7,44.3,2.9189209669328147,0.031086508297834478,1425.0555120430165,2,44.3,0.0443,0.023922000000000002,1.0873636363636365,0.005200434782608697,0.00443,0.03987,0.0095688,10.400869565217393
56,56,2025-02-26,2.437,1.544,2.8853,1.3291666666666666,68.20833333333333,4.167824074074074,0.7,18.38,8388.7,25.0,2.4719496255406375,0.026326263512007786,949.62203765062,2,25.0,0.025,0.013500000000000002,0.6136363636363638,0.002934782608695653,0.0025,0.022500000000000003,0.0054,5.8695652173913055
57,57,2025-02-27,2.725,0.767,4.9124,3.454166666666667,78.45833333333333,5.28125,0.1,18.38,8388.7,35.4,2.45952630377831,0.026193955135239,1351.4568463307785,2,35.4,0.0354,0.019116,0.868909090909091,0.004155652173913044,0.00354,0.03186,0.0076464,8.311304347826088
58,58,2025-02-28,3.124,0.777,6.506399999999999,1.8458333333333332,41.583333333333336,4.467592592592593,0.0,18.38,8388.7,46.5,3.0419854791136585,0.03239714535256046,1435.3116453306568,2,46.5,0.0465,0.02511,1.1413636363636364,0.005458695652173913,0.00465,0.04185,0.010044,10.917391304347827
59,59,2025-03-01,2.673,1.455,3.2146000000000003,-0.016666666666666663,98.58333333333333,2.0925925925925926,0.0,65.7,8388.7,35.4,2.528717396723784,0.0269308402751083,1314.4781090517847,3,35.4,0.0354,0.019116,0.868909090909091,0.004155652173913044,0.00354,0.03186,0.0076464,8.311304347826088
60,60,2025-03-02,3.114,0.948,5.557,-0.7708333333333334,49.708333333333336,1.9340277777777777,0.0,65.7,8388.7,42.6,2.8966360778885454,0.030849174229513006,1380.9121658512704,3,42.6,0.0426,0.023004,1.0456363636363637,0.005000869565217392,0.00426,0.03834,0.0092016,10.001739130434784
61,61,2025-03-03,2.428,1.613,2.4708,0.17916666666666667,97.375,3.407407407407407,0.0,65.7,8388.7,37.4,2.4226765859905433,0.025801505640799288,1449.5278113095965,3,37.4,0.037399999999999996,0.020196,0.918,0.004390434782608696,0.0037399999999999994,0.033659999999999995,0.0080784,8.78086956521739
62,62,2025-03-04,3.401,0.9,6.5173000000000005,-5.779166666666666,23.5,2.210648148148148,0.0,65.7,8388.7,48.2,3.224676340378351,0.034342803025029435,1403.4963880167638,3,48.2,0.0482,0.026028000000000003,1.1830909090909092,0.0056582608695652185,0.00482,0.04338,0.0104112,11.316521739130437
63,63,2025-03-05,3.453,0.947,6.3582,-3.4250000000000003,32.958333333333336,1.8854166666666667,0.0,65.7,8388.7,47.9,3.226543483650886,0.03436268810088193,1393.9538099980784,3,47.9,0.0479,0.025866,1.1757272727272727,0.0056230434782608705,0.00479,0.04311,0.0103464,11.24608695652174
