,time,ghi,dhi,dni,temp_air,cloud_cover (%),wind_speed,precipitation (mm),Energy per inverter | Primo 7.6-1 208-240 (1),Energy per inverter | Primo 7.6-1 208-240 (2),Energy per inverter | Primo 7.6-1 208-240 (3),Total system,poa_global,theoretical_kwh,PR_Daily,Month,Daily Value Imputed,energy_mwh,co2_avoided,trees_saved,cars_offroad,homes_powered,coal_emission_avoided,coal_tonnage_avoided,gas_saved
12,2025-09-01,4.089,2.247,4.5499,18.120833333333334,44.541666666666664,1.8629166666666668,0.0,30.93029,28.67032,25.06289,84.6635,2.2995246903981457,0.0529465559964173,1599.036961076918,9,84.6635,0.0846635,0.04571829,2.078104090909091,5.869565217391305e-05,0.008466350000000001,0.07619715,0.018287316,19.87751739130435
13,2025-09-02,4.815,1.408,5.9138,15.229166666666666,71.79166666666667,2.1141666666666667,0.0,42.18013,38.39769,34.19581,114.77362,1.5431335127940078,0.03553064913208202,3230.270845132586,9,114.77362,0.11477361999999999,0.0619777548,2.817170672727273,0.00016434782608695653,0.011477362,0.103296258,0.02479110192,26.94684991304348
14,2025-09-03,4.587,1.703,5.9132,17.641666666666666,62.458333333333336,3.1024999999999996,0.0,33.55056,30.21936,26.61639,90.3863,1.7882156534001503,0.04117366541953846,2195.2454093899614,9,90.3863,0.0903863,0.048808602000000006,2.2185728181818187,0.0012208695652173914,0.00903863,0.08134767000000001,0.019523440800000003,21.221131304347832
15,2025-09-04,5.406,0.885,8.9489,16.929166666666667,13.375,4.239999999999999,0.0,49.82169,45.58032,41.98384,137.38585,1.0614295882642117,0.024439416269783472,5621.486556119666,9,137.38585,0.13738585,0.07418835900000001,3.372198136363637,0.0015260869565217393,0.013738585000000001,0.123647265,0.029675343600000004,32.25580826086957
16,2025-09-05,5.394,0.842,9.23,13.6,0.375,2.0379166666666664,0.0,49.01516,43.51429,40.66431,133.19376,0.983905431829209,0.022654422567867535,5879.3712177382395,9,133.19376,0.13319376,0.07192463040000001,3.2693013818181824,0.0015613043478260873,0.013319375999999999,0.119874384,0.028769852160000005,31.271578434782615
17,2025-09-06,5.3,0.839,9.0879,15.941666666666668,27.166666666666668,2.217916666666667,0.0,44.43638,40.68791,36.09315,121.21744,0.9364466414224957,0.021561683918752964,5621.891149910275,9,121.21744,0.12121744,0.0654574176,2.9753371636363637,0.000633913043478261,0.012121744,0.10909569599999999,0.026182967039999998,28.459746782608697
18,2025-09-07,4.453,1.636,5.7793,18.058333333333334,49.875,0.96875,0.0,25.26526,23.42959,20.23024,68.9251,1.6157273645358567,0.0372021225684381,1852.7195558050053,9,68.9251,0.0689251,0.037219554,1.6917979090909092,0.0007513043478260871,0.00689251,0.062032590000000006,0.0148878216,16.1824147826087
19,2025-09-08,4.885,0.919,7.783399999999999,18.537499999999998,19.083333333333332,1.2754166666666666,0.0,38.57784,35.07127,31.73719,105.3863,0.9392469108530768,0.021626160122392095,4873.093485092679,9,105.3863,0.1053863,0.056908602,2.5867546363636365,0.0005634782608695653,0.01053863,0.09484767000000001,0.0227634408,24.74287043478261
20,2025-09-09,4.925,0.828,8.507100000000001,20.491666666666667,2.2916666666666665,2.54875,0.0,7.74803,7.03829,6.42071,21.20703,0.8550126279619625,0.019686665758824187,1077.228122821882,9,21.20703,0.021207029999999998,0.0114517962,0.5205361909090909,0.001936956521739131,0.002120703,0.019086327,0.00458071848,4.979041826086957
21,2025-09-10,4.714,0.917,7.8828000000000005,20.037499999999998,23.666666666666668,1.5954166666666667,1.1,0.0,0.0,0.0,0.0,0.9345171784551848,0.02151725803393063,0.0,9,81.3160674266099,0.0813160674266099,0.04391067641036935,1.9959398368349708,0.0009743478260869567,0.008131606742660991,0.07318446068394892,0.017564270564147742,19.091598439291026
22,2025-09-11,4.686,0.91,7.474,18.279166666666665,23.041666666666668,0.9874999999999999,0.0,0.0,0.0,0.0,0.0,0.9275171784551847,0.021356083033930627,0.0,9,80.70696950405782,0.08070696950405783,0.04358176353219123,1.980989251463238,0.0018547826086956526,0.008070696950405782,0.07263627255365204,0.017432705412876493,18.948592840083144
23,2025-09-12,4.703,0.841,8.293700000000001,19.945833333333333,2.6666666666666665,2.1125000000000003,0.0,0.0,0.0,0.0,0.0,0.8634239980415797,0.01988033755490737,0.0,9,75.12996621267476,0.07512996621267476,0.04057018175484437,1.8440991706747443,0.001807826086956522,0.007512996621267476,0.06761696959140728,0.016228072701937747,17.639209458627988
24,2025-09-13,4.708,0.772,8.3173,21.025000000000002,13.458333333333334,2.497916666666667,0.0,0.0,0.0,0.0,0.0,0.7991298557336513,0.01839996492826732,0.0,9,69.53547642524248,0.06953547642524248,0.03754915726963094,1.7067798758923156,0.002617826086956522,0.006953547642524248,0.06258192878271823,0.015019662907852376,16.325720552013454
25,2025-09-14,4.589,0.85,8.0095,20.008333333333333,14.333333333333334,2.35875,0.0,0.0,0.0,0.0,0.0,0.8699119743625379,0.020029723209697432,0.0,9,75.6945109124837,0.07569451091248369,0.0408750358927412,1.8579561769427817,0.0035921739130434795,0.00756945109124837,0.06812505982123533,0.01635001435709648,17.771754735974433
26,2025-09-15,4.307,1.003,7.120100000000001,18.724999999999998,33.791666666666664,2.52,0.0,18.31477,19.5192,17.17569,55.00966,1.0079403132354487,0.023207825712246208,2370.306494113868,9,55.00966,0.055009659999999995,0.029705216399999998,1.350237109090909,0.002476956521739131,0.0055009659999999995,0.049508694,0.01188208656,12.91531147826087
27,2025-09-16,4.638,0.746,8.5417,15.5,6.291666666666667,1.5133333333333334,0.0,41.08338,38.06413,34.64675,113.79426,0.7736992477675674,0.01781442517984824,6387.759293447458,9,113.79426,0.11379426,0.0614489004,2.7931318363636364,0.001713913043478261,0.011379426,0.102414834,0.02457956016,26.716913217391305
28,2025-09-17,4.559,0.76,8.2746,17.516666666666666,18.166666666666668,3.5116666666666667,0.0,38.60695,36.62618,33.44044,108.67357,0.7854384264564297,0.018084719769159294,6009.137624865277,9,108.67357,0.10867357,0.0586837278,2.667442172727273,5.869565217391305e-05,0.010867357,0.097806213,0.023473491120000002,25.514664260869566
29,2025-09-18,4.448,0.733,8.344299999999999,17.958333333333332,6.5,3.3225,0.0,36.60321,33.79694,30.87032,101.27047,0.7583881859828489,0.017461887982255096,5799.514353941099,9,101.27047,0.10127047,0.0546860538,2.4857297181818185,4.6956521739130444e-05,0.010127047,0.091143423,0.02187442152,23.776545130434787
30,2025-09-19,4.298,0.864,7.6,15.779166666666667,47.166666666666664,1.4000000000000001,0.0,34.01753,31.52387,28.64438,94.18578,0.8781008262516878,0.020218271524445112,4658.448665412555,9,94.18578,0.09418578,0.0508603212,2.311832781818182,4.6956521739130444e-05,0.009418578,0.084767202,0.02034412848,22.113183130434784
31,2025-09-20,4.119,0.892,6.9792,17.708333333333332,40.25,1.8391666666666666,0.0,34.72948,31.12548,29.00942,94.86438,0.9012275003143468,0.020750763194737835,4571.609203465661,9,94.86438,0.09486438,0.0512267652,2.3284893272727274,3.521739130434783e-05,0.009486438,0.085377942,0.02049070608,22.272506608695654
32,2025-09-21,3.937,0.969,6.8955,18.866666666666667,39.625,2.18,0.0,24.86597,23.40466,21.20944,69.48007,0.9700215562961437,0.02233474633371871,3110.851091024307,9,69.48007,0.06948006999999999,0.0375192378,1.7054199,1.1739130434782611e-05,0.006948006999999999,0.062532063,0.015007695120000001,16.312712086956523
33,2025-09-22,4.106,0.805,7.2215,13.262500000000001,45.666666666666664,3.4112500000000003,0.8,38.47845,34.33632,32.0074,104.82217,0.8198376865308735,0.01887676273237336,5552.973859242908,9,104.82217,0.10482217,0.05660397180000001,2.5729078090909097,2.3478260869565222e-05,0.010482217,0.094339953,0.02264158872,24.610422521739135
34,2025-09-23,4.012,0.831,7.2795,15.775,33.458333333333336,2.6158333333333332,0.0,35.89186,32.65038,29.56751,98.10975,0.8425218152745383,0.019399064796696244,5057.447409357001,9,98.10975,0.09810975000000001,0.05297926500000001,2.4081484090909098,2.3478260869565222e-05,0.009810975000000001,0.08829877500000001,0.021191706000000005,23.03446304347827
35,2025-09-24,2.308,1.157,3.0686999999999998,11.924999999999999,71.33333333333333,2.955,0.2,17.00216,15.09835,13.24681,45.34731,1.1181473670974873,0.02574534312741964,1761.379126918826,9,45.34731,0.04534731,0.024487547400000004,1.1130703363636365,2.3478260869565222e-05,0.004534731,0.040812579,0.009795018960000002,10.646759739130438
36,2025-09-25,3.808,0.872,7.025399999999999,11.4375,27.708333333333332,2.4720833333333334,0.0,32.60329,30.1609,27.49674,90.26094,0.8773589838486225,0.02020119060311453,4468.100013178628,9,90.26094,0.09026094000000001,0.04874090760000001,2.2154958000000007,1.1739130434782611e-05,0.009026094000000002,0.08123484600000001,0.019496363040000003,21.191698956521744
37,2025-09-26,3.733,0.884,6.5766,12.545833333333334,68.91666666666667,4.49,1.7,34.91708,31.42859,29.84968,96.19535,0.8872991244318083,0.020430062340042382,4708.519651036975,9,96.19535,0.09619535,0.051945489000000004,2.361158590909091,2.3478260869565222e-05,0.009619535,0.086575815,0.0207781956,22.584995217391306
38,2025-09-27,2.087,1.014,3.2624,12.820833333333333,88.91666666666667,2.2204166666666665,0.0,21.26144,19.38593,17.6416,58.28897,0.981025502506445,0.022588112195210897,2580.5153390533605,9,58.28897,0.05828897,0.031476043800000006,1.430729263636364,2.3478260869565222e-05,0.005828897,0.052460073,0.012590417520000003,13.685236434782613
39,2025-09-28,1.973,1.209,1.7265,10.454166666666667,97.0,2.3045833333333334,1.1,22.84883,20.56593,18.13382,61.54857,1.1610538413793563,0.026733264697759683,2302.3214970507483,9,61.54857,0.06154857,0.033236227800000004,1.5107376272727275,2.3478260869565222e-05,0.006154857,0.055393713,0.013294491120000002,14.450533826086959
40,2025-09-29,3.411,1.065,5.7238999999999995,15.279166666666667,71.29166666666667,3.9483333333333337,0.1,18.32744,16.96195,14.78483,50.07423,1.0507819459766237,0.024194254306111756,2069.6744510679405,9,50.07423,0.05007423,0.0270400842,1.2290947363636364,3.521739130434783e-05,0.0050074229999999996,0.045066807,0.01081603368,11.75655834782609
41,2025-09-30,2.64,1.197,3.5415,16.483333333333334,94.0,1.97375,0.4,10.9882,10.24863,8.67242,29.90926,1.161027820916122,0.026732665576593706,1118.828195950187,9,29.90926,0.02990926,0.0161510004,0.7341363818181819,2.3478260869565222e-05,0.002990926,0.026918334000000002,0.00646040016,7.022174086956523
42,2025-10-01,1.869,1.403,1.1285,11.308333333333332,81.125,2.0845833333333332,3.2,17.96387,15.90024,13.84859,47.71269,1.3403166357956444,0.030860790539194716,1546.0618203996605,10,47.71269,0.04771269,0.025764852600000002,1.1711296636363637,2.3478260869565222e-05,0.004771269,0.042941421,0.01030594104,11.202109826086957
43,2025-10-02,3.11,0.999,4.839899999999999,9.416666666666666,49.75,1.18875,0.30000000000000004,30.97924,28.20351,26.01269,85.19544,0.9841623134691266,0.02266033726762664,3759.672197011526,10,85.19544,0.08519544000000001,0.04600553760000001,2.0911608000000004,2.3478260869565222e-05,0.008519544,0.07667589600000001,0.018402215040000003,20.002407652173915
